,time,betalow,beta,betahigh
1,1,0.000383655,1.59E-05,0.000466443
2,2,0.000383655,1.59E-05,0.000466443
3,3,0.000360096,1.59E-05,0.000437581
4,4,0.000360096,1.59E-05,0.000437581
5,5,0.000367516,1.71E-05,0.000445142
6,6,0.000367516,1.71E-05,0.000445142
7,7,0.000362167,1.67E-05,0.000438783
8,8,0.000362167,1.67E-05,0.000438783
9,9,0.00031727,1.39E-05,0.00038506
10,10,0.00031727,1.39E-05,0.00038506
11,11,0.000368569,1.79E-05,0.000445946
12,12,0.000368569,1.79E-05,0.000445946
13,13,0.000387953,1.80E-05,0.000469207
14,14,0.000387953,1.80E-05,0.000469207
15,15,0.000367973,1.62E-05,0.000446959
16,16,0.000367973,1.62E-05,0.000446959
17,17,0.000372732,1.59E-05,0.000453293
18,18,0.000372732,1.59E-05,0.000453293
19,19,0.000418347,1.80E-05,0.000508551
20,20,0.000418347,1.80E-05,0.000508551
21,21,0.000416691,1.65E-05,0.000509171
22,22,0.000416691,1.65E-05,0.000509171
23,23,0.000386668,1.57E-05,0.000471696
24,24,0.000386668,1.57E-05,0.000471696
25,25,0.000363482,1.60E-05,0.000441565
26,26,0.000363482,1.60E-05,0.000441565
27,27,0.000335807,1.58E-05,0.00040637
28,28,0.000335807,1.58E-05,0.00040637
29,29,0.000314946,1.51E-05,0.000381026
30,30,0.000314946,1.51E-05,0.000381026
31,31,0.000347509,1.71E-05,0.000419386
32,32,0.000347509,1.71E-05,0.000419386
33,33,0.000354595,1.71E-05,0.000428397
34,34,0.000354595,1.71E-05,0.000428397
35,35,0.000347053,1.56E-05,0.000420959
36,36,0.000347053,1.56E-05,0.000420959
37,37,0.000408031,1.83E-05,0.000495317
38,38,0.000408031,1.83E-05,0.000495317
39,39,0.000369939,1.54E-05,0.000450809
40,40,0.000369939,1.54E-05,0.000450809
41,41,0.000386944,1.64E-05,0.000470876
42,42,0.000386944,1.64E-05,0.000470876
43,43,0.000405587,1.70E-05,0.000493635
44,44,0.000405587,1.70E-05,0.000493635
45,45,0.000387851,1.62E-05,0.000471691
46,46,0.000387851,1.62E-05,0.000471691
47,47,0.000420104,1.72E-05,0.000512309
48,48,0.000420104,1.72E-05,0.000512309
49,49,0.000376873,1.46E-05,0.000460429
50,50,0.000376873,1.46E-05,0.000460429
51,51,0.000398025,1.67E-05,0.000484079
52,52,0.000398025,1.67E-05,0.000484079
